PERSONAJE,GLOSA
Chaves,"Ñuflo de Chaves nació en Santa Cruz de la Sierra, de Extremadura, en 1518. Llegó a territorio americano con el segundo adelantado del Río de la Plata,Don Alvar Núñez Cabeza de Vaca”. Cuando la flota llega al puerto de SantaCatalina en el año 1541, ya ostentaba el grado de Capitán. Cuando el gobernador Martínez de Irala le encomienda fundar al norte deAsunción, Chaves se convierte así en General. El 26 de febrero de 1561 fundó Santa Cruz de la Sierra a orillas delarroyo Sutó. Después de fundada Santa Cruz de la Sierra, Ñuflo de Chaves se dirige aAsunción, en 1564, para recoger a su familia. En 1550 se había casado con Doña Elvira Manrique, hija de don Francisco deMendoza, gobernador del Río de la Plata, con quien tuvo cinco hijos: Francisco y Alvaro, ambos militares; María, Catalinay Elvira; las dos menores monjas y la mayor se casó en 1574 con un soldadode apellido Ossorio. El nieto de Ñuflo, Cap. Francisco Ossorio de Chaves,estuvo como Alcalde durante la traslación de la ciudad, hasta su asientodefinitivo a orillas del Piraí (1621)."
Gasca,"Pedro de la Gasca o bien Pedro Lagasca (Navarregadilla de Ávila, Corona de Castilla, agosto de 1493 – Sigüenza de Guadalajara, Corona de España, 13 de noviembre de 1567) era un sacerdote, funcionario, diplomático y militar español del siglo XVI que fue nombrado caballero de la Orden de Santiago y consejero del Tribunal del Santo Oficio.Fue designado en 1546 como presidente de la Real Audiencia de Lima con la misión de acabar con la rebelión de Gonzalo Pizarro en el Virreinato del Perú, cumpliendo cabalmente su cometido, y ha pasado a la historia con el apelativo de Pacificador. Hizo luego un ordenamiento general del territorio y culminó su brillante carrera como obispo de Palencia desde 1550 y luego de Sigüenza desde 1561 hasta su fallecimiento."
Sanabria,"Juan de Sanabria al enterarse de la destitución de Alvar Núñez Cabeza de Vaca en la Gobernación del Río de la Plata y del Paraguay, el 22 de junio de 1547, elevó solicitud a Carlos I para que se le concediese la plaza vacante. La aceptación y el nombramiento de Adelantado lo recibía Juan de Sanabria el 1 de enero de 1549 pero después de tener lista la expedición para partir al Río de la Plata, moría en España tres meses después de haber sido nombrado."
Doña Mencía,"Refiere a Mencía Calderón Ocampo, conocida como Mencía Calderón la Adelantada (España, 1514 - Santa Cruz de la Sierra la vieja, 1593), fue una noble emprendedora y exploradora española. Estaba casada con el nominal adelantado Juan de Sanabria, el cual fallecería en la península poco antes de embarcar, por lo que consiguió que su hijastro Diego de Sanabria heredase el título por dos vidas para poder continuar con la empresa que llevaría a América Latina a las primeras cincuenta mujeres hidalgas del Nuevo Mundo, para iniciar así una aristocracia colonial de índole europea."
Sanabria,"Refiere a Diego de Sanabria (Medellín de la Extremadura, 1532 – Sudamérica, después de 1557) era hijo de Juan de Sanabria, quien había casado en segundas nupcias con Mencía Calderón, y por consiguiente esta dama era la madrastra. Luego de la muerte de su padre que supuso un trance familiar y supondría la ruina de aquella familia, pero doña Mencía, mujer decidida que resolvió emprender la empresa por su cuenta, pero las leyes de la época se lo prohibían y por lo que determinó ponerla en manos de su hijastro Diego de Sanabria, que por aquellas fechas contaba unos 17 años."
Diego Sanabria,"Refiere a Diego de Sanabria (Medellín de la Extremadura, 1532 – Sudamérica, después de 1557) era hijo de Juan de Sanabria, quien había casado en segundas nupcias con Mencía Calderón, y por consiguiente esta dama era la madrastra. Luego de la muerte de su padre que supuso un trance familiar y supondría la ruina de aquella familia, pero doña Mencía, mujer decidida que resolvió emprender la empresa por su cuenta, pero las leyes de la época se lo prohibían y por lo que determinó ponerla en manos de su hijastro Diego de Sanabria, que por aquellas fechas contaba unos 17 años."
Obispo,"Fray Pedro Fernández de la Torre, franciscano nacido en Baeza, España., hizo su solemne entrada en Asunción oficiar como primer Obispo del Paraguay, en la víspera del Domingo de Ramos del año 1555. Llega con la armada de Martín de Orue, portador del Nombramiento real de Martínez de Irala como Gobernador de aquella Provincia."
Domingo de Irala,"Domingo Martínez de Irala (Vergara de la Hermandad de Guipúzcoa, Corona  de Castilla, 1509 - Asunción del Paraguay, Virreinato del Perú, 3 de  octubre de 1556) fue un conquistador, explorador y colonizador español  que como lugarteniente de Juan de Ayolas quien lo nombrara interinamente  hasta que regresara como teniente de gobernador de La Candelaria en  1537, luego lo sería de hecho, y posteriormente elegido por el pueblo  según real cédula, como teniente de gobernador general de Asunción.Ocupó  tres veces el cargo de gobernador interino del Río de la Plata y del  Paraguay, en los períodos de 1539 a 1542, de 1544 hasta 1548 y por  último desde 1549. El emperador Carlos V lo nombraría definitivamente  como titular en el cargo gubernamental en el año 1555, que lo ostentaría  hasta su fallecimiento.En 1543 fundó en el Chaco Boreal el Puerto de  los Reyes, a orillas del río Paraguay y del pantano de los Jarayes,  sobre las costas de la laguna La Gaiba.Irala era un capitán que exploró junto a Juan de  Ayolas el Río Paraguay. Ayolas lo designó, cuando se internó en el Chaco  en 1537, capitán de los bergantines en el Puerto de la Candelaria. Su  papel en estas exploraciones y este (precario) nombramiento de Ayolas  serían las bases que lo elevarían a teniente de gobernador con el aval  del veedor Alonso Cabrera en 1539."
Francisco Ortiz de Vergara,"Francisco Ortiz de Vergara fue un conquistador y colonizador español. Sucedió a Gonzalo de Mendoza en el gobierno del Río de la Plata con sede en Asunción. Hijo de Francisco de Vergara y Beatriz de Roelas. Fue nombrado por los conquistadores y confirmado por el obispo Pedro de Latorre en 1558. Fue depuesto por la Real Audiencia de Charcas en 1564 y regresó a España en 1565. Hermano de Ruy Díaz de Melgarejo En 1559 enfrento la rebelión de dos manzebos, Pablo y Don Narazio, hijos de un Principal local llamado a Curupiratí de la tribu xaraje junto a Nufrio de Chaves, el 3 de mayo de 1560 en los campos de Acahai o del Acaraiba Ortiz les vence, el ejército rebelde dividido en cuatro cuerpos o columnas sumaba 16.000 guerreros guaraníes, la victoria se logró gracias a la llegada oportuna de indios amigos, se mataron más de 1.000 rebeldes. Durante su gobierno hubo numerosos intentos fallidos de crear nuevos asentamientos (Sancti Spiritus, San Francisco y Santa Cruz de la Sierra). Este último, en el sur de la Cuenca del Amazonas, fue un éxito, pero sólo después de que la ciudad se había movido más de 200 kilómetros desde el lugar elegido por Ñuflo de Chaves. El contrato de arrendamiento anterior fue cerca de San José de Chiquitos, y es hoy un sitio arqueológico conocido como Santa Cruz la Vieja. Lo sucedió el adelantado Juan Ortiz de Zárate."
Filipo,"Felipe II de España, llamado «el Prudente» (Valladolid, 21 de mayo de  1527-San Lorenzo de El Escorial, 13 de septiembre de 1598), fue rey de  España​ desde el 15 de enero de 1556 hasta su muerte, de Nápoles y  Sicilia desde 1554 y de Portugal y los Algarves —como Felipe I— desde  1580, realizando la tan ansiada unión dinástica que duró sesenta años.  Fue asimismo rey de Inglaterra e Irlanda iure uxoris, por su matrimonio  con María I, entre 1554 y 1558. Hijo y heredero de Carlos I de España e  Isabel de Portugal, hermano de María de Austria y Juana de Austria,  nieto por vía paterna de Juana I de Castilla y Felipe I de Castilla y de  Manuel I de Portugal y María de Aragón por vía materna; murió el 13 de  septiembre de 1598 a los 71 años de edad, en el monasterio de San  Lorenzo de El EscorialSu reinado se caracterizó por la exploración  global y la expansión territorial a través de los océanos Atlántico y  Pacífico. Con Felipe II la Monarquía Hispánica llegó a ser la primera  potencia de Europa y el Imperio español alcanzó su apogeo. Fue el primer  imperio de ámbito mundial. Por primera vez en la historia, un imperio  integraba territorios de todos los continentes habitados."
obispo,"Fray Pedro Fernández de la Torre, franciscano nacido en Baeza, España., hizo su solemne entrada en Asunción oficiar como primer Obispo del Paraguay, en la víspera del Domingo de Ramos del año 1555. Llega con la armada de Martín de Orue, portador del Nombramiento real de Martínez de Irala como Gobernador de aquella Provincia."
D. Pedro de la Torre,"Fray Pedro Fernández de la Torre, franciscano nacido en Baeza, España., hizo su solemne entrada en Asunción oficiar como primer Obispo del Paraguay, en la víspera del Domingo de Ramos del año 1555. Llega con la armada de Martín de Orue, portador del Nombramiento real de Martínez de Irala como Gobernador de aquella Provincia."
Urue,"Refiere a Martín de Orue, conquistador español nacido en Orduña en 1517. Llegó a Rio de la Plata con la expedición de Alonso Cabrera pero regreso muy pronto a España por desaveniencias con el jefe de la expedición. Regresó nuevamente a América en la expedición de Alvar Nuñez hacia el Paraguay y años más tarde se enemistó con él, tomando parte en la revolución que le quitó el mando. Fue hombre de confianza de Irala y más tarde lo fue también de Juan Ortiz de Zárate."
General,"Refiere a Martín de Orue, conquistador español nacido en Orduña en 1517. Llegó a Rio de la Plata con la expedición de Alonso Cabrera pero regreso muy pronto a España por desaveniencias con el jefe de la expedición. Regresó nuevamente a América en la expedición de Alvar Nuñez hacia el Paraguay y años más tarde se enemistó con él, tomando parte en la revolución que le quitó el mando. Fue hombre de confianza de Irala y más tarde lo fue también de Juan Ortiz de Zárate."
Francisco Ortiz,"Francisco Ortiz de Vergara fue un conquistador y colonizador español. Sucedió a Gonzalo de Mendoza en el gobierno del Río de la Plata con sede en Asunción. Hijo de Francisco de Vergara y Beatriz de Roelas. Fue nombrado por los conquistadores y confirmado por el obispo Pedro de Latorre en 1558. Fue depuesto por la Real Audiencia de Charcas en 1564 y regresó a España en 1565. Hermano de Ruy Díaz de Melgarejo En 1559 enfrento la rebelión de dos manzebos, Pablo y Don Narazio, hijos de un Principal local llamado a Curupiratí de la tribu xaraje junto a Nufrio de Chaves, el 3 de mayo de 1560 en los campos de Acahai o del Acaraiba Ortiz les vence, el ejército rebelde dividido en cuatro cuerpos o columnas sumaba 16.000 guerreros guaraníes, la victoria se logró gracias a la llegada oportuna de indios amigos, se mataron más de 1.000 rebeldes. Durante su gobierno hubo numerosos intentos fallidos de crear nuevos asentamientos (Sancti Spiritus, San Francisco y Santa Cruz de la Sierra). Este último, en el sur de la Cuenca del Amazonas, fue un éxito, pero sólo después de que la ciudad se había movido más de 200 kilómetros desde el lugar elegido por Ñuflo de Chaves. El contrato de arrendamiento anterior fue cerca de San José de Chiquitos, y es hoy un sitio arqueológico conocido como Santa Cruz la Vieja. Lo sucedió el adelantado Juan Ortiz de Zárate."
Rui Diaz,"Ruy Díaz de Melgarejo (Salteras de Sevilla, 1519 – Santa Fe la Vieja, 1602) fue un militar, conquistador, explorador, estadista, minero y burócrata colonial español establecido en la región del Río de la Plata. Su vida estuvo marcada por guerras, conspiraciones, persecuciones y conflictos familiares.  Junto a Juan de Salazar, Alonso Riquelme de Guzmán y Diego de Abreu se opuso al gobierno asunceno de Domingo Martínez de Irala, apoyando al deportado Álvar Núñez Cabeza de Vaca.  Gobernó de manera casi absoluta e independiente la antigua provincia asuncena del Guayrá, fácticamente durante 20 años, y luego de separarla de Asunción en 1575, con el título de teniente de gobernador del Guayrá unos 15 años más."
